GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0500000US11001,11001,"District of Columbia, District of Columbia",581530,*****,200395,3340,322105,2958,1903,430,19827,454,203,206,28127,3566,8970,2349,1662,808,7308,2213
0500000US12001,12001,"Alachua County, Florida",227120,*****,163949,1192,46184,1351,362,261,10528,393,46,77,2108,953,3943,1094,518,474,3425,911
0500000US12005,12005,"Bay County, Florida",163505,*****,135900,1000,17812,843,118,104,3312,505,101,165,1368,597,4894,1178,971,655,3923,1017
0500000US12009,12009,"Brevard County, Florida",534359,*****,452749,2257,50409,1445,2305,521,11147,749,245,254,7772,1990,9732,1927,3234,1214,6498,1563
0500000US12011,12011,"Broward County, Florida",1787636,*****,1167834,10063,441678,3728,3981,893,54001,1664,881,1021,76128,8070,43133,6228,21436,5358,21697,3264
0500000US12015,12015,"Charlotte County, Florida",154438,*****,139786,1782,8436,483,294,239,1368,389,0,300,2355,1722,2199,935,611,770,1588,559
0500000US12017,12017,"Citrus County, Florida",138143,*****,129693,693,4025,549,482,464,1917,94,0,300,510,445,1516,819,363,395,1153,649
0500000US12019,12019,"Clay County, Florida",178899,*****,151744,1394,15231,1090,679,326,4843,683,828,653,1069,1050,4505,1163,791,552,3714,1096
0500000US12021,12021,"Collier County, Florida",314649,*****,263356,5027,17436,1459,588,282,3247,294,49,84,25867,4958,4106,1908,2392,1755,1714,902
0500000US12023,12023,"Columbia County, Florida",76170,4959,60587,4533,10948,2548,58,97,286,321,0,300,2956,2005,1335,899,195,318,1140,841
0500000US12031,12031,"Duval County, Florida",837964,*****,527006,2794,248130,2830,2880,654,27817,1185,484,171,15329,2922,16318,3182,2204,812,14114,3059
0500000US12033,12033,"Escambia County, Florida",295426,*****,207603,1067,64524,1974,1480,362,8107,555,57,100,3353,1119,10302,2200,804,484,9498,2189
0500000US12035,12035,"Flagler County, Florida",83084,*****,72014,359,7458,913,836,655,1540,417,0,300,421,341,815,691,217,174,598,659
0500000US12053,12053,"Hernando County, Florida",165409,*****,151413,1483,6477,1500,602,325,1135,414,405,659,3250,2026,2127,882,654,592,1473,615
0500000US12055,12055,"Highlands County, Florida",97987,*****,84499,1133,9794,406,61,106,1104,233,0,300,1624,974,905,622,527,484,378,375
0500000US12057,12057,"Hillsborough County, Florida",1157738,*****,861562,6614,182045,2866,3230,761,35111,1173,106,124,53848,6149,21836,3260,6355,1654,15481,2891
0500000US12061,12061,"Indian River County, Florida",130100,*****,113049,1650,10237,893,352,249,1417,277,0,300,3581,1594,1464,1016,25,41,1439,1015
0500000US12069,12069,"Lake County, Florida",290435,*****,241700,3321,25085,635,1252,506,4083,626,165,24,13932,3185,4218,1635,2407,1446,1811,705
0500000US12071,12071,"Lee County, Florida",571344,*****,483474,4700,41543,799,1621,582,7571,759,196,226,31664,4778,5275,1472,2028,873,3247,1124
0500000US12073,12073,"Leon County, Florida",245625,*****,157891,1260,73711,1100,846,398,5923,499,0,300,3320,1352,3934,1231,583,416,3351,1155
0500000US12081,12081,"Manatee County, Florida",313298,*****,262790,3724,27348,971,1150,443,4785,548,175,215,14459,3872,2591,877,691,388,1900,866
