GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01003,01003,"Baldwin County, Alabama",186717,*****,162171,1714,18524,332,401,417,1464,380,0,190,1721,1714,2436,577,0,190,2436,577
0500000US01015,01015,"Calhoun County, Alabama",117797,*****,88358,1187,25428,620,147,210,110,132,0,190,1223,859,2531,1005,567,839,1964,620
0500000US01043,01043,"Cullman County, Alabama",80536,*****,76442,1248,992,414,455,338,351,65,40,88,968,1058,1288,595,320,424,968,436
0500000US01049,01049,"DeKalb County, Alabama",71375,*****,64518,2126,1466,125,818,640,107,105,0,190,2962,2179,1504,823,47,90,1457,815
0500000US01055,01055,"Etowah County, Alabama",104303,*****,84403,1073,16328,565,173,190,856,190,220,352,1146,1192,1177,432,173,227,1004,371
0500000US01069,01069,"Houston County, Alabama",102369,*****,71328,439,26489,343,323,129,701,176,17,32,1685,490,1826,418,86,83,1740,388
0500000US01073,01073,"Jefferson County, Alabama",658931,*****,346566,2862,278920,1141,1694,722,10395,321,26,50,17302,2951,4028,1125,172,198,3856,1125
0500000US01077,01077,"Lauderdale County, Alabama",92781,*****,80740,558,10110,568,155,198,627,175,0,190,334,497,815,563,40,85,775,556
0500000US01081,01081,"Lee County, Alabama",143468,*****,101250,926,33808,1481,65,86,4044,277,0,190,1854,1012,2447,1221,106,192,2341,1227
0500000US01083,01083,"Limestone County, Alabama",85369,*****,69208,1202,11994,814,502,251,400,674,0,190,2133,1144,1132,599,169,170,963,538
0500000US01089,01089,"Madison County, Alabama",340111,*****,234068,1922,82329,1373,2057,540,7805,882,626,868,2994,1517,10232,2043,911,606,9321,1738
0500000US01095,01095,"Marshall County, Alabama",94166,*****,86656,1661,2080,307,271,202,513,137,30,56,3265,1668,1351,371,7,12,1344,370
0500000US01097,01097,"Mobile County, Alabama",412577,*****,249423,1305,143823,1275,3796,472,7476,941,112,192,2992,1302,4955,1707,290,227,4665,1689
0500000US01101,01101,"Montgomery County, Alabama",232032,*****,94826,1456,127067,1033,1071,703,5178,415,0,190,1341,1148,2549,925,433,621,2116,821
0500000US01103,01103,"Morgan County, Alabama",119953,*****,99466,1511,15103,785,385,298,151,231,382,510,2342,1503,2124,591,0,190,2124,591
0500000US01115,01115,"St. Clair County, Alabama",84398,*****,75722,1594,6753,1660,584,434,609,197,20,44,114,230,596,529,0,190,596,529
0500000US01117,01117,"Shelby County, Alabama",197936,*****,165006,2462,22795,246,519,368,4337,268,0,190,3865,2341,1414,640,299,510,1115,527
0500000US01125,01125,"Tuscaloosa County, Alabama",197211,*****,132893,503,60060,483,96,97,2763,221,0,190,504,461,895,527,51,84,844,519
0500000US01127,01127,"Walker County, Alabama",66661,*****,60645,418,3423,686,119,163,139,167,0,190,682,422,1653,734,61,117,1592,698
0500000US02020,02020,"Anchorage Municipality, Alaska",295570,*****,196444,2566,16294,1734,19194,2718,23872,1647,6145,440,3140,1247,30481,3668,2778,1365,27703,3311
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",99192,*****,75684,952,4606,852,6641,1369,2460,430,259,420,1927,1085,7615,1806,204,191,7411,1790
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",91946,*****,78034,595,364,329,5661,954,1438,326,232,123,810,606,5407,1067,34,61,5373,1049
0500000US04001,04001,"Apache County, Arizona",72401,*****,17330,884,339,226,51383,1137,552,520,398,420,1332,988,1067,732,0,229,1067,732
0500000US04003,04003,"Cochise County, Arizona",133289,*****,97616,3440,5101,904,1554,993,2327,902,384,221,16679,2987,9628,2867,4090,2223,5538,1786
0500000US04005,04005,"Coconino County, Arizona",134511,*****,83427,1900,1827,411,36926,823,1894,477,60,84,6083,1705,4294,1317,1858,1215,2436,730
0500000US04013,04013,"Maricopa County, Arizona",3880244,*****,3160235,19217,194407,6816,73511,3343,133072,4557,7880,1306,206022,17167,105117,8950,22821,3831,82296,8708
0500000US04015,04015,"Mohave County, Arizona",202351,*****,178872,3739,2525,1064,4439,1607,1383,513,209,317,3179,1264,11744,3559,2059,1446,9685,2953
0500000US04017,04017,"Navajo County, Arizona",107398,*****,53175,1958,426,319,46764,1905,831,90,0,229,2388,1041,3814,1613,630,659,3184,1441
0500000US04019,04019,"Pima County, Arizona",989569,*****,790968,8776,37575,3024,31790,2638,26930,2836,1657,263,72730,7333,27919,4700,8261,3022,19658,3412
0500000US04021,04021,"Pinal County, Arizona",382992,*****,296684,6813,17137,1414,19500,2094,5616,1419,848,515,28510,6564,14697,4111,3706,2245,10991,3695
