GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01003,01003,"Baldwin County, Alabama",171769,*****,149069,1267,17692,486,1202,371,608,415,0,267,2090,1186,1108,674,414,515,694,517
0500000US01015,01015,"Calhoun County, Alabama",113103,*****,87010,707,22163,857,217,182,838,191,0,267,900,408,1975,987,375,471,1600,854
0500000US01043,01043,"Cullman County, Alabama",80554,*****,76747,800,377,407,563,203,906,766,0,267,1027,788,934,787,638,800,296,283
0500000US01049,01049,"DeKalb County, Alabama",68016,*****,64505,872,671,312,615,388,481,433,0,267,781,853,963,599,84,153,879,515
0500000US01051,01051,"Elmore County, Alabama",77525,*****,57984,230,17233,566,375,306,233,329,0,267,969,243,731,551,21,31,710,547
0500000US01055,01055,"Etowah County, Alabama",103217,*****,85828,395,14753,1008,555,147,653,725,127,202,277,387,1024,772,0,267,1024,772
0500000US01069,01069,"Houston County, Alabama",97171,*****,69729,309,24871,201,516,185,690,129,0,267,583,265,782,295,76,89,706,287
0500000US01073,01073,"Jefferson County, Alabama",658779,*****,367234,2122,270992,1307,1944,651,8268,641,547,888,5117,2041,4677,1397,213,221,4464,1373
0500000US01081,01081,"Lee County, Alabama",130516,*****,95657,734,29406,1059,427,330,2370,328,661,976,331,359,1664,774,371,409,1293,684
0500000US01089,01089,"Madison County, Alabama",312734,*****,220178,1371,74627,1556,1029,457,6487,643,0,267,2849,1249,7564,1469,344,284,7220,1456
0500000US01095,01095,"Marshall County, Alabama",87644,*****,81887,1380,2091,355,370,206,333,336,0,267,2176,1239,787,364,279,297,508,206
0500000US01097,01097,"Mobile County, Alabama",404406,*****,249039,663,138863,1065,1951,530,7665,379,0,267,2582,659,4306,1243,140,125,4166,1225
0500000US01101,01101,"Montgomery County, Alabama",225791,*****,98387,830,121111,815,317,276,3057,407,70,120,628,669,2221,841,201,250,2020,791
0500000US01103,01103,"Morgan County, Alabama",115050,*****,94478,1157,12921,1275,856,463,292,445,0,267,3589,1353,2914,1392,420,575,2494,1216
0500000US01117,01117,"Shelby County, Alabama",182113,*****,156150,1116,18401,481,351,202,2766,232,0,267,2745,1191,1700,581,0,267,1700,581
0500000US01125,01125,"Tuscaloosa County, Alabama",177906,*****,117919,657,54558,836,420,185,2305,296,0,267,911,720,1793,905,375,303,1418,801
0500000US02020,02020,"Anchorage Municipality, Alaska",279671,*****,193075,2076,17642,1622,16053,1966,17293,1280,3087,462,9613,2418,22908,2884,708,464,22200,2790
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",97484,*****,73390,833,5514,825,5666,973,3155,681,1040,860,2563,1102,6156,1247,440,501,5716,1333
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",82669,*****,70967,377,493,350,4713,751,825,336,21,39,629,447,5021,866,105,150,4916,857
0500000US04001,04001,"Apache County, Arizona",69980,*****,15924,617,152,89,51824,829,139,214,0,292,1245,621,696,676,101,108,595,659
0500000US04003,04003,"Cochise County, Arizona",127866,*****,104735,2559,5030,1033,1065,333,2545,394,180,202,8222,2232,6089,1600,2197,955,3892,1097
0500000US04005,04005,"Coconino County, Arizona",127450,*****,78083,2219,652,600,36754,1687,480,399,252,410,8380,2406,2849,1378,594,411,2255,1317
0500000US04013,04013,"Maricopa County, Arizona",3880181,*****,3071290,19529,169619,4787,69329,2366,113881,2584,5196,832,366178,19112,84688,7309,29323,4381,55365,6149
0500000US04015,04015,"Mohave County, Arizona",194944,*****,175340,2175,1336,721,2739,880,1697,724,263,280,7311,2192,6258,1485,417,349,5841,1446
0500000US04017,04017,"Navajo County, Arizona",111273,*****,51707,1502,1458,136,50937,1090,56,95,55,95,5494,1479,1566,976,150,130,1416,982
0500000US04019,04019,"Pima County, Arizona",967089,*****,679606,8936,31907,1919,28731,2495,24065,1229,1017,301,170915,8464,30848,4391,12474,2934,18374,3318
0500000US04021,04021,"Pinal County, Arizona",299246,*****,218332,5632,9959,713,18085,1933,4839,631,268,116,38744,5303,9019,2214,4832,2066,4187,1337
0500000US04025,04025,"Yavapai County, Arizona",212635,*****,189426,3238,867,613,3219,707,1451,455,233,367,12243,3327,5196,1468,1186,789,4010,1145
0500000US04027,04027,"Yuma County, Arizona",190557,*****,140297,5649,3061,643,2457,510,1654,322,135,227,38047,5960,4906,1587,2179,1200,2727,1032
0500000US05007,05007,"Benton County, Arkansas",203107,*****,168869,2766,2696,701,2404,811,4120,517,155,264,19277,3328,5586,1926,585,850,5001,1776
0500000US05031,05031,"Craighead County, Arkansas",91552,*****,79270,289,10074,348,14,27,887,88,0,267,193,247,1114,350,15,27,1099,352
0500000US05045,05045,"Faulkner County, Arkansas",104865,*****,90941,478,11394,529,327,229,525,386,0,267,254,399,1424,490,151,207,1273,441
0500000US05051,05051,"Garland County, Arkansas",96371,*****,83042,718,8605,446,318,259,332,362,0,267,2451,972,1623,949,441,701,1182,374
0500000US05069,05069,"Jefferson County, Arkansas",78986,*****,35259,423,41074,526,113,133,904,267,0,267,693,423,943,523,0,267,943,523
0500000US05119,05119,"Pulaski County, Arkansas",373911,*****,228745,1933,129784,916,1691,604,6652,756,61,102,1949,1112,5029,1837,594,667,4435,1619
0500000US05125,05125,"Saline County, Arkansas",96212,*****,89033,648,4641,520,845,310,466,438,0,267,417,506,810,662,367,470,443,419
0500000US05131,05131,"Sebastian County, Arkansas",121766,*****,99731,1880,7229,821,1015,469,4510,128,0,267,4551,1746,4730,1195,203,188,4527,1165
0500000US05143,05143,"Washington County, Arkansas",194292,*****,157304,2571,5801,884,2333,852,4415,363,1362,267,18161,2920,4916,1488,902,784,4014,1116
0500000US05145,05145,"White County, Arkansas",73441,*****,67902,548,3326,537,97,88,0,267,0,267,787,549,1329,558,0,267,1329,558
0500000US06001,06001,"Alameda County, California",1464202,*****,704408,10059,189722,2851,5887,1409,362798,3530,10794,769,133357,10305,57236,5397,10365,1974,46871,4859
0500000US06007,06007,"Butte County, California",218779,*****,181005,2574,3312,518,3096,902,8771,910,455,409,11536,2825,10604,1860,2481,1082,8123,1470
0500000US06013,06013,"Contra Costa County, California",1019640,*****,612689,8714,93122,2845,4191,1322,137533,3175,3741,804,124580,9128,43784,4533,8309,2179,35475,4267
0500000US06017,06017,"El Dorado County, California",175689,*****,153815,2146,828,577,1936,585,8483,1105,49,81,6597,1889,3981,1244,368,297,3613,1264
0500000US06019,06019,"Fresno County, California",899348,*****,561002,10492,44318,2481,9845,1774,78557,1946,1317,318,172723,9821,31586,4147,12092,3107,19494,3399
0500000US06023,06023,"Humboldt County, California",128864,*****,105676,1038,1482,463,6238,1025,2652,665,353,168,5103,1326,7360,1767,1589,906,5771,1311
0500000US06025,06025,"Imperial County, California",161867,*****,120389,4433,5209,318,2641,685,3025,401,85,102,26181,4052,4337,1274,2069,832,2268,957
0500000US06029,06029,"Kern County, California",790710,*****,483273,11497,46146,1966,8323,1975,30519,1294,1038,364,195821,11334,25590,3939,12206,2865,13384,2086
0500000US06031,06031,"Kings County, California",148875,*****,97124,4841,11882,1113,1704,368,5383,1174,145,381,28119,4666,4518,1694,1632,737,2886,1561
0500000US06033,06033,"Lake County, California",64664,*****,56968,1211,1177,977,1910,1157,660,644,0,292,1593,1075,2356,1014,0,292,2356,1014
0500000US06037,06037,"Los Angeles County, California",9878554,*****,4931877,36241,872098,8407,45714,4277,1291178,5797,24783,1710,2421369,37162,291535,12962,121696,8655,169839,8821
0500000US06039,06039,"Madera County, California",146513,*****,115553,3523,5799,696,2572,841,2859,534,215,251,15086,2920,4429,1699,1639,852,2790,1591
0500000US06041,06041,"Marin County, California",248096,*****,202905,3368,7865,545,953,757,14131,1159,465,204,15313,3307,6464,1407,1145,620,5319,1261
0500000US06045,06045,"Mendocino County, California",86273,*****,75480,1697,318,224,4075,874,811,465,0,292,2858,1646,2731,1039,123,146,2608,1060
0500000US06047,06047,"Merced County, California",245514,*****,137583,6222,9136,417,1982,1207,15975,1003,654,292,72414,6274,7770,1892,3092,1327,4678,1083
0500000US06053,06053,"Monterey County, California",407637,*****,251084,7753,13123,1197,1699,694,25008,1709,1802,202,101695,7646,13226,2012,2700,976,10526,1994
0500000US06055,06055,"Napa County, California",132565,*****,111200,2526,2512,119,1185,468,7771,758,534,472,6004,2340,3359,1035,1527,911,1832,603
0500000US06057,06057,"Nevada County, California",97027,*****,90604,892,394,256,2145,1211,1344,303,55,83,628,441,1857,691,418,478,1439,466
0500000US06059,06059,"Orange County, California",2997033,*****,1844932,21032,52818,1816,14749,1788,483004,3440,8959,1302,520535,20685,72036,5754,23174,3788,48862,4201
0500000US06061,06061,"Placer County, California",332920,*****,284060,3100,4828,886,2272,644,18598,1660,240,242,12454,3044,10468,1823,936,490,9532,1877
0500000US06065,06065,"Riverside County, California",2073571,*****,1314662,20999,126648,2270,18792,2825,108755,3064,6021,635,422541,20782,76152,6321,32085,5247,44067,4316
0500000US06067,06067,"Sacramento County, California",1386667,*****,856942,8002,140486,3570,10349,2249,188317,2648,11111,506,118503,7884,60959,5208,10995,2120,49964,5069
0500000US06071,06071,"San Bernardino County, California",2007800,*****,1142600,19979,177042,4324,20103,2895,118658,2924,5399,987,456373,20487,87625,7431,39982,5606,47643,5629
0500000US06073,06073,"San Diego County, California",2974859,*****,2083989,14565,149870,4220,20028,2442,307032,4816,12671,2124,284386,13695,116883,8665,27926,3939,88957,7410
0500000US06075,06075,"San Francisco County, California",764976,*****,419636,5511,51103,1156,2843,1632,240532,2605,2956,925,25987,4304,21919,2913,3667,1237,18252,2656
0500000US06077,06077,"San Joaquin County, California",670990,*****,368643,7987,51058,1916,5226,1365,91638,2785,3396,642,116817,7807,34212,4832,11699,2912,22513,4292
0500000US06079,06079,"San Luis Obispo County, California",262436,*****,219936,2968,5322,350,2271,767,7716,916,331,272,18513,3015,8347,1431,2225,1126,6122,1016
0500000US06081,06081,"San Mateo County, California",706984,*****,432261,6489,21160,1374,2047,803,169880,2249,9583,735,45629,6406,26424,3793,7030,2580,19394,2734
0500000US06083,06083,"Santa Barbara County, California",404197,*****,300202,6768,6124,1126,3194,1022,19744,1831,705,545,60261,6311,13967,2519,5137,1636,8830,1758
0500000US06085,06085,"Santa Clara County, California",1748976,*****,934827,11767,44510,1996,8068,2215,531488,4011,6717,628,164291,11763,59075,5191,14193,2664,44882,4000
0500000US06087,06087,"Santa Cruz County, California",251747,*****,213808,2833,1640,731,1765,1044,9962,922,294,204,13616,2660,10662,1873,2161,828,8501,1685
0500000US06089,06089,"Shasta County, California",179427,*****,160197,1757,1541,631,4292,1035,4548,368,0,292,3610,1819,5239,1274,71,101,5168,1257
0500000US06095,06095,"Solano County, California",408599,*****,218618,4974,61788,2155,3059,645,55964,2812,3292,592,43033,5634,22845,3713,6582,2610,16263,2355
0500000US06097,06097,"Sonoma County, California",464435,*****,364288,6030,5562,865,5446,1556,16857,1127,868,377,53829,6009,17585,2403,3924,1231,13661,2068
0500000US06099,06099,"Stanislaus County, California",511263,*****,358148,8917,14453,1304,4105,1196,26190,2045,2454,247,86594,8651,19319,3078,6429,1981,12890,2458
0500000US06101,06101,"Sutter County, California",92040,*****,61497,2887,1421,516,1308,589,11102,899,376,387,10826,2763,5510,1686,1140,851,4370,1370
0500000US06107,06107,"Tulare County, California",421553,*****,328134,5744,7086,1083,4735,1083,14138,1146,329,397,56337,5677,10794,1995,5002,1375,5792,1476
0500000US06111,06111,"Ventura County, California",798364,*****,536830,10665,14744,1542,6555,2257,52428,2294,1895,370,157946,11228,27966,4480,12129,3240,15837,2446
0500000US06113,06113,"Yolo County, California",195844,*****,138378,4127,4904,967,2424,837,24524,1118,517,435,17746,3665,7351,1395,1842,720,5509,1275
