GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0400000US45,45,South Carolina,4321249,*****,2908324,4787,1237900,4993,11935,1717,46939,2243,3284,1535,57217,5172,55650,4350,3894,1019,51756,4188
0400000US46,46,South Dakota,781919,*****,681785,1872,5262,1143,67614,2653,7064,1446,56,69,7767,2137,12371,2341,717,700,11654,2301
0400000US47,47,Tennessee,6038803,*****,4781578,6874,1011726,5781,16135,1742,76208,2169,1284,898,77146,6204,74726,5931,8219,1751,66507,5487
0400000US48,48,Texas,23507783,*****,16405937,47857,2718515,10979,111511,6501,787208,6461,14047,2865,3053945,46784,416620,15720,160211,7506,256409,12976
0400000US49,49,Utah,2550063,*****,2271604,8320,22742,2140,28901,1967,49079,2375,18958,1550,113961,8315,44818,4656,10010,1931,34808,4256
0400000US50,50,Vermont,623908,*****,600529,792,5167,742,2563,696,5693,743,61,101,1876,765,8019,1134,398,235,7621,1083
0400000US51,51,Virginia,7642884,*****,5413295,11229,1496076,7657,18553,2070,365515,4642,6291,1753,197995,10716,145159,8457,22999,3576,122160,7446
0400000US53,53,Washington,6395798,*****,5148130,12497,217868,5110,92791,4224,423976,6335,27186,1818,276396,12323,209451,8883,23464,3306,185987,8548
0400000US54,54,West Virginia,1818470,*****,1721098,1805,58693,2194,3318,1078,10479,1628,1201,824,2985,965,20696,2329,1232,582,19464,2382
0400000US55,55,Wisconsin,5556506,*****,4859689,6394,328376,3397,47727,2424,110778,2702,1622,681,136736,5993,71578,3929,11937,1878,59641,3726
0400000US56,56,Wyoming,515004,*****,472937,2132,3686,1121,11505,1064,4656,1356,350,445,12442,1881,9428,1655,1415,612,8013,1548
0400000US72,72,Puerto Rico,3927776,*****,2962908,17336,303274,11748,8085,1888,13498,2802,123,146,466125,12966,173763,9201,22446,3270,151317,8634
