GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01003,01003,"Baldwin County, Alabama",195540,*****,169831,1499,20100,1250,570,441,1341,829,0,192,1513,1482,2185,1460,754,836,1431,1120
0500000US01015,01015,"Calhoun County, Alabama",116736,*****,87777,1038,24658,653,88,124,1207,192,0,192,1226,1031,1780,553,78,99,1702,521
0500000US01049,01049,"DeKalb County, Alabama",71013,*****,64764,1796,1546,148,1303,957,117,200,0,192,1225,1255,2058,1492,1016,1179,1042,757
0500000US01051,01051,"Elmore County, Alabama",80902,*****,61393,525,17372,578,326,270,746,131,0,192,457,494,608,560,0,192,608,560
0500000US01055,01055,"Etowah County, Alabama",103931,*****,84585,723,16426,265,799,611,699,245,71,128,226,339,1125,593,309,327,816,462
0500000US01069,01069,"Houston County, Alabama",103668,*****,71726,549,27512,640,697,342,981,143,0,192,687,443,2065,634,114,93,1951,641
0500000US01073,01073,"Jefferson County, Alabama",659479,*****,348515,2704,278125,2137,2072,706,9070,1250,12,20,12350,2931,9335,2865,533,367,8802,2832
0500000US01077,01077,"Lauderdale County, Alabama",92797,*****,80383,429,9387,606,341,284,862,192,46,87,562,578,1216,627,228,229,988,541
0500000US01081,01081,"Lee County, Alabama",150933,*****,104152,1424,35703,724,61,143,4857,538,0,192,4520,1810,1640,856,0,192,1640,856
0500000US01083,01083,"Limestone County, Alabama",88845,*****,73100,1238,11174,741,478,336,854,552,200,288,505,771,2534,1145,122,225,2412,1042
0500000US01089,01089,"Madison County, Alabama",346892,*****,239945,1583,85494,955,2147,876,9299,544,156,212,2625,1246,7226,1522,468,433,6758,1443
0500000US01095,01095,"Marshall County, Alabama",94760,*****,88365,1683,1485,497,1200,940,264,176,0,192,860,1067,2586,1071,612,752,1974,660
0500000US01097,01097,"Mobile County, Alabama",414079,*****,249194,1075,144740,2045,1845,710,8198,809,46,76,1323,785,8733,2499,427,402,8306,2406
0500000US01101,01101,"Montgomery County, Alabama",226659,*****,87348,1501,127791,818,123,161,4982,1133,0,192,3535,1473,2880,1336,1042,1159,1838,782
0500000US01103,01103,"Morgan County, Alabama",119787,*****,98139,1804,14249,1509,664,543,245,227,0,192,2737,1768,3753,1570,0,192,3753,1570
0500000US01115,01115,"St. Clair County, Alabama",86308,*****,75053,372,8272,360,163,219,739,141,0,192,1191,492,890,524,0,192,890,524
0500000US01117,01117,"Shelby County, Alabama",204180,*****,168130,1927,24119,518,247,389,3911,626,0,192,4871,1908,2902,958,445,533,2457,787
0500000US01125,01125,"Tuscaloosa County, Alabama",200821,*****,132348,2183,61366,575,371,280,2915,226,0,192,1941,2168,1880,711,0,192,1880,711
0500000US02020,02020,"Anchorage Municipality, Alaska",300950,*****,197183,2477,17842,1425,22764,2262,24675,2387,6800,288,5114,2001,26572,4104,1570,1118,25002,4071
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",100436,*****,77978,1105,3911,1159,6815,2024,3426,567,196,246,201,235,7909,2156,50,89,7859,2141
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",95192,*****,79506,707,1021,394,4621,811,1249,173,85,116,1198,909,7512,969,205,159,7307,945
0500000US04001,04001,"Apache County, Arizona",71934,*****,17178,661,395,279,51837,1226,326,314,150,250,191,180,1857,1249,27,52,1830,1237
0500000US04003,04003,"Cochise County, Arizona",129473,*****,107321,2813,5157,1362,1530,599,2215,478,0,203,7644,2534,5606,1746,915,558,4691,1651
0500000US04005,04005,"Coconino County, Arizona",136539,*****,84389,1920,2577,403,35829,1588,1734,526,277,355,6133,2060,5600,1429,563,341,5037,1349
0500000US04013,04013,"Maricopa County, Arizona",4009412,*****,3202752,15984,207145,4665,74761,4262,147957,3979,8005,889,241330,15300,127462,8665,24432,3859,103030,7820
0500000US04015,04015,"Mohave County, Arizona",203030,*****,184282,1841,2612,605,4842,679,2556,623,162,165,3559,1555,5017,1425,515,462,4502,1453
0500000US04017,04017,"Navajo County, Arizona",107322,*****,53703,1128,655,394,45631,1298,570,338,430,634,2245,839,4088,1240,425,395,3663,1107
