GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
0400000US01,01,Alabama,4442558,*****,3153627,4971,1144330,5190,23283,1646,38444,2253,938,933,34643,4676,47293,4936,3631,1102,43662,4793
0400000US02,02,Alaska,641724,*****,443874,2450,22103,850,91013,2977,28838,1908,3282,850,8188,2073,44426,3829,2398,1086,42028,3888
0400000US04,04,Arizona,5829839,*****,4440804,21839,180769,5229,275321,6142,129197,2470,7229,1827,658244,23454,138275,9284,50696,5945,87579,6842
0400000US05,05,Arkansas,2701431,*****,2135069,7370,414260,5201,18481,1657,25249,2206,4105,1394,65419,7225,38848,4741,4876,1400,33972,4763
0400000US06,06,California,35278768,*****,21491336,78683,2163530,16014,253774,11432,4365548,14931,124511,4759,5784073,80501,1095996,23933,355568,14412,740428,20883
0400000US08,08,Colorado,4562244,*****,3809054,16119,165729,3553,40063,3910,117506,3181,4476,1057,306399,15976,119017,7200,35144,4635,83873,5603
0400000US09,09,Connecticut,3394751,*****,2756081,10383,309769,5164,8324,2172,108644,2036,1480,1310,153631,9473,56822,5253,10260,1888,46562,5271
0400000US10,10,Delaware,818587,*****,602213,3285,163052,1712,2056,534,22376,744,70,122,16749,3375,12071,1956,936,551,11135,1861
0400000US11,11,District of Columbia,515118,*****,166813,2891,292445,2327,1386,454,15566,1303,242,208,30893,3026,7773,1901,1058,622,6715,1883
0400000US12,12,Florida,17382511,*****,13341532,25125,2613628,12771,59092,4557,371385,5489,7523,1367,711373,24415,277978,13772,78664,6707,199314,12036
0400000US13,13,Georgia,8821142,*****,5516920,16610,2571396,9894,20223,2547,240832,4500,4401,1598,346839,15806,120531,8821,26383,4253,94148,7345
0400000US15,15,Hawaii,1238158,*****,308912,3775,24239,1132,3216,934,520564,9651,105042,5153,15644,3332,260541,13137,7990,1981,252551,13160
0400000US16,16,Idaho,1395634,*****,1281279,5046,5931,1284,15817,2027,15117,1390,1054,576,49107,4702,27329,3195,5556,1413,21773,2791
0400000US17,17,Illinois,12440351,*****,8986032,26972,1803613,7768,23175,2109,507687,4109,3992,1700,928610,25377,187242,9220,51340,6376,135902,7515
0400000US18,18,Indiana,6093372,*****,5247604,9258,522377,6014,15161,1835,72494,2163,1610,914,144947,8768,89179,6965,16029,2721,73150,5757
0400000US19,19,Iowa,2862541,*****,2675878,5760,62827,2765,6511,1327,41510,1518,520,267,43915,4867,31380,3683,5935,1448,25445,3201
0400000US20,20,Kansas,2662616,*****,2269482,7705,147455,4920,23647,2624,53129,1662,1169,566,108800,7132,58934,4133,10285,2221,48649,3835
0400000US21,21,Kentucky,4058633,*****,3646690,4706,292012,4113,8343,1883,35561,1915,3184,1697,28695,4361,44148,3768,4108,1236,40040,3521
0400000US22,22,Louisiana,4389747,*****,2795263,4781,1425685,5155,24921,2205,58392,2147,347,252,37078,4312,48061,4999,6079,1617,41982,4434
0400000US23,23,Maine,1283673,*****,1239525,1627,8788,1028,7060,893,10907,957,14,27,4772,1868,12607,1550,1231,832,11376,1423
0400000US24,24,Maryland,5461318,*****,3356489,11434,1564914,6641,16711,3460,258529,3637,2554,1166,168909,11166,93212,6752,13888,3193,79324,5749
0400000US25,25,Massachusetts,6182860,*****,5156426,16197,363095,11147,13708,1865,292537,3349,626,416,269564,20343,86904,7510,21189,3922,65715,5820
0400000US26,26,Michigan,9865583,*****,7890608,9349,1379010,8917,57840,3173,227585,2808,3546,1847,151670,8793,155324,10248,25717,6201,129607,7147
0400000US27,27,Minnesota,4989848,*****,4390040,8022,205160,4269,53573,2618,177645,3127,2460,1167,87512,7419,73458,5270,8668,1983,64790,4828
0400000US28,28,Mississippi,2824156,*****,1716444,3238,1030075,6224,12280,1563,21523,3179,588,494,18679,2903,24567,4392,1988,1057,22579,4034
0400000US29,29,Missouri,5631910,*****,4760327,6544,627978,5687,23091,2775,78554,2414,3100,721,55841,6059,83019,5831,8819,1927,74200,5591
0400000US30,30,Montana,910651,*****,824721,1654,4135,1056,55079,2327,5508,904,648,466,4759,1270,15801,2286,1175,541,14626,2257
